ID,Módulo,Subseção,Arquivo,Suite,Nome do Teste,Autenticação,Rota,O que testa,Tipo,Implementado,Resultado Manual,Observações
TC-021,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),exibe SecondaryHeader e todos os campos esperados,Autenticado,/meu-perfil/informacoes-pessoais,"Página exibe h1 'Informações pessoais' e todos os 12 campos: CPF, Nome completo, Nome de exibição, Celular, E-mail, Cor/Raça, Gênero, Renda familiar, Escolaridade, Deficiência, Data de nascimento, Nacionalidade",Conteúdo,Sim,,
TC-022,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),Nome de exibição navega para /atualizar-nome-exibicao,Autenticado,/meu-perfil/informacoes-pessoais → atualizar-nome-exibicao,Clicar no campo Nome de exibição navega para a página de atualização e exibe o texto de instrução,Navegação,Sim,,
TC-023,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),Celular navega para /atualizar-telefone,Autenticado,/meu-perfil/informacoes-pessoais → atualizar-telefone,Clicar no campo Celular navega para /atualizar-telefone e exibe aviso 'Você irá receber um código via Whatsapp',Navegação,Sim,,
TC-024,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),E-mail navega para /atualizar-email,Autenticado,/meu-perfil/informacoes-pessoais → atualizar-email,Clicar no campo E-mail navega para /atualizar-email com texto de instrução,Navegação,Sim,,
TC-025,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),bottom sheet Cor / Raça exibe todas as opções,Autenticado,/meu-perfil/informacoes-pessoais,"Clicar em Cor/Raça abre drawer com as 6 opções: Branca, Preta, Parda, Amarela, Indígena, Outra",Conteúdo,Sim,,
TC-026,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),bottom sheet Gênero exibe todas as opções,Autenticado,/meu-perfil/informacoes-pessoais,"Clicar em Gênero abre drawer com as 7 opções: Homem cisgênero, Homem transgênero, Mulher cisgênero, Mulher transgênero, Não binário, Prefiro não informar, Outro",Conteúdo,Sim,,
TC-027,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),bottom sheet Renda familiar exibe todas as opções,Autenticado,/meu-perfil/informacoes-pessoais,Clicar em Renda familiar abre drawer com 5 faixas de salário mínimo,Conteúdo,Sim,,
TC-028,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),bottom sheet Escolaridade exibe todas as opções,Autenticado,/meu-perfil/informacoes-pessoais,Clicar em Escolaridade abre drawer com 9 opções: Fundamental incompleto até Doutorado,Conteúdo,Sim,,
TC-029,Meu Perfil,Informações Pessoais,meu-perfil.spec.ts,Meu Perfil — informações pessoais (autenticado),bottom sheet Deficiência exibe todas as opções,Autenticado,/meu-perfil/informacoes-pessoais,"Clicar em 'Você tem alguma deficiência?' abre drawer com 8 opções incluindo Física, Auditiva, Visual, TEA, etc.",Conteúdo,Sim,,
TC-030,Meu Perfil,Endereço,meu-perfil.spec.ts,Meu Perfil — endereço (autenticado),exibe SecondaryHeader 'Endereço',Autenticado,/meu-perfil/endereco,Página exibe h1 'Endereço',Smoke,Sim,,
TC-031,Meu Perfil,Autorizações,meu-perfil.spec.ts,Meu Perfil — autorizações (autenticado),exibe SecondaryHeader 'Autorizações' texto explicativo e switch,Autenticado,/meu-perfil/autorizacoes,"Página exibe h1 'Autorizações', texto sobre comunicações, switch e label 'Autorizo' ou 'Não autorizo'",Smoke,Sim,,
TC-032,Meu Perfil,Autorizações,meu-perfil.spec.ts,Meu Perfil — autorizações (autenticado),toggle do switch de autorização,Autenticado,/meu-perfil/autorizacoes,Toggle do switch funciona: se desligado ativa direto; se ligado abre drawer de confirmação,Fluxo,Sim,,
TC-033,Meu Perfil,Configurações,meu-perfil.spec.ts,Meu Perfil — configurações (autenticado),exibe SecondaryHeader 'Configurações' e opções de tema,Autenticado,/meu-perfil/configuracoes,Página exibe h1 'Configurações' e radio buttons 'Modo Claro' e 'Modo Escuro',Smoke,Sim,,
TC-034,Meu Perfil,Configurações,meu-perfil.spec.ts,Meu Perfil — configurações (autenticado),selecionar Modo Escuro e restaurar Modo Claro,Autenticado,/meu-perfil/configuracoes,Selecionar Modo Escuro marca o radio; selecionar Modo Claro restaura o estado,Fluxo,Sim,,
TC-035,FAQ,—,meu-perfil.spec.ts,FAQ — PrefRio (autenticado),exibe 'Perguntas Frequentes' e texto 'O que é a Plataforma PrefRio?',Autenticado,/faq/pref-rio,Página /faq/pref-rio exibe h1 'Perguntas Frequentes' e o texto 'O que é a Plataforma PrefRio?',Smoke,Sim,,
TC-036,Meu Perfil,Atualizar Nome,meu-perfil-atualizacao.spec.ts,Meu Perfil — atualizar nome de exibição (autenticado),página contém 'Como prefere ser chamado(a)?' input e botão Salvar,Autenticado,/meu-perfil/informacoes-pessoais/atualizar-nome-exibicao,"Página exibe o texto de instrução, input 'Digite como quer ser chamado' e botão Salvar",Smoke,Sim,,
TC-037,Meu Perfil,Atualizar Nome,meu-perfil-atualizacao.spec.ts,Meu Perfil — atualizar nome de exibição (autenticado),fluxo feliz: input → 'Nome de exibição atualizado!' → Finalizar → /informacoes-pessoais,Autenticado,/meu-perfil/informacoes-pessoais/atualizar-nome-exibicao,"Preenche 'Teste end to end', salva, verifica drawer 'Nome de exibição atualizado!', clica Finalizar e volta para /informacoes-pessoais",Fluxo,Sim,,
TC-038,Meu Perfil,Atualizar Celular,meu-perfil-atualizacao.spec.ts,Meu Perfil — atualizar celular (autenticado),página contém 'Escreva seu celular' e aviso de WhatsApp,Autenticado,/meu-perfil/informacoes-pessoais/atualizar-telefone,"Página exibe texto de instrução, aviso 'Você irá receber um código via Whatsapp' e botão Enviar",Smoke,Sim,,
TC-039,Meu Perfil,Atualizar Celular,meu-perfil-atualizacao.spec.ts,Meu Perfil — atualizar celular (autenticado),input de número válido envia token e redireciona para token-input,Autenticado,/meu-perfil/informacoes-pessoais/atualizar-telefone → token-input,"Preenche (21) 99999-9999, clica Enviar, verifica toast 'Token enviado' e redirect para /token-input com params ddd=21 e ddi=55",Fluxo,Sim,,
TC-040,Meu Perfil,Atualizar E-mail,meu-perfil-atualizacao.spec.ts,Meu Perfil — atualizar e-mail (autenticado),página contém 'Escreva seu email' input e botão Salvar,Autenticado,/meu-perfil/informacoes-pessoais/atualizar-email,"Página exibe texto de instrução, input 'Digite seu email' e botão Salvar",Smoke,Sim,,
TC-041,Meu Perfil,Atualizar E-mail,meu-perfil-atualizacao.spec.ts,Meu Perfil — atualizar e-mail (autenticado),fluxo completo: atualiza e-mail → sucesso → Finalizar; mesma tentativa exibe 'Email já cadastrado',Autenticado,/meu-perfil/informacoes-pessoais/atualizar-email,"Preenche e-mail, salva; se sucesso → verifica drawer 'Email atualizado!' → Finalizar → /informacoes-pessoais; se duplicado → verifica toast 'Email já cadastrado'",Fluxo,Sim,,
TC-042,Meu Perfil,Endereço,meu-perfil-atualizacao.spec.ts,Meu Perfil — endereço: fluxo completo (autenticado),exclui endereço existente / verifica estado vazio e adiciona novo endereço,Autenticado,/meu-perfil/endereco → atualizar-endereco,"Exclui endereço (se houver), verifica 'Não há nenhum endereço cadastrado', clica Adicionar, busca 'rua mora campo grande 303', preenche número/complemento/CEP, salva e verifica sucesso",Fluxo,Sim,,
TC-043,Carteira,—,carteira.spec.ts,Carteira,exibe abas 'Meus Cartões' e 'Meus Pets',Autenticado,/carteira,Página /carteira exibe as abas 'Meus Cartões' e 'Meus Pets',Conteúdo,Sim,,
TC-044,Carteira,—,carteira.spec.ts,Carteira,exibe cartões ou estado vazio da carteira,Autenticado,/carteira,Exibe algum cartão (CLÍNICA DA FAMÍLIA / CADÚNICO) ou 'Nenhum cartão disponível no momento',Smoke,Sim,,Estado depende de /api/user/wallet
TC-045,Carteira,Pets,carteira.spec.ts,Carteira,aba Pets exibe pets ou estado vazio,Autenticado,/carteira?pets=true,Aba Pets exibe pets cadastrados ou 'Você ainda não tem um animal cadastrado' / SISBICHO,Smoke,Sim,,
TC-046,Auth UX,Autenticação necessária,auth-ux.spec.ts,Auth UX — autenticação necessária (público),exibe conteúdo e CTA gov.br,Público,/autenticacao-necessaria/carteira,"Página exibe h1 'Documentos', 'Informações para você em um só lugar', 'Entre com a sua conta gov.br', botão gov.br e link 'Crie uma conta'",Conteúdo,Sim,,
TC-047,Auth UX,Sessão expirada,auth-ux.spec.ts,Auth UX — sessão expirada (público),exibe mensagem e opções de login,Público,/sessao-expirada,"Página exibe h2 'Sessão Expirada', texto de segurança, botão gov.br e botão 'Continuar sem fazer login'",Conteúdo,Sim,,
TC-048,Cursos,Home,cursos.spec.ts,Cursos — home (público),exibe logo Oportunidades Cariocas no header,Público,/servicos/cursos,Header exibe o logo 'Oportunidades Cariocas Logo',Smoke,Sim,,
TC-049,Cursos,Home,cursos.spec.ts,Cursos — home (público),header deslogado exibe link de Login,Público,/servicos/cursos,Header de visitante exibe o link 'Login',Conteúdo,Sim,,
TC-050,Cursos,Home,cursos.spec.ts,Cursos — home (público),exibe cursos ou estado vazio,Público,/servicos/cursos,Exibe heading 'Todos os cursos' / card visível de curso ou 'Nenhum curso encontrado',Smoke,Sim,,Cards são client-side (TanStack Query)
TC-051,Cursos,Home,cursos.spec.ts,Cursos — home (público),clicar no primeiro card navega para a página do curso,Público,/servicos/cursos → /servicos/cursos/[slug],Clica no 1º card de curso visível e verifica h1 na página do curso,Navegação,Sim,,Sem hardcode de ID (getFirstCourseHref)
TC-052,Cursos,Detalhe,cursos.spec.ts,Cursos — página do curso (público),carrega a página do curso com título (h1),Público,/servicos/cursos/[slug],Página do curso exibe h1 com o título,Smoke,Sim,,
TC-053,Cursos,Detalhe,cursos.spec.ts,Cursos — página do curso (público),exibe CTA de inscrição sem autenticação,Público,/servicos/cursos/[slug],CTA de inscrição (link para confirmar-informacoes) ou trocar-turma presente quando o curso está disponível,Conteúdo,Sim,,Tolera curso indisponível
TC-054,Cursos,Busca,cursos.spec.ts,Cursos — busca (público),/servicos/cursos/busca redireciona para /busca?tipo=cursos,Público,/servicos/cursos/busca → /busca?tipo=cursos,Redireciona e exibe input 'Do que você precisa?',Navegação,Sim,,
TC-055,Cursos,Busca,cursos.spec.ts,Cursos — busca (público),busca com ?q= exibe resultados ou vazio,Público,/busca?tipo=cursos&q=curso,Exibe 'Resultados da Pesquisa' ou 'Ops... nenhum resultado encontrado',Fluxo,Sim,,
TC-056,Cursos,Categoria,cursos.spec.ts,Cursos — categoria (público),clicar em categoria abre a página com título e ícone de busca,Público,/servicos/cursos → /servicos/cursos/categoria/[slug],"Clica no 1º chip visível; assere h1 não-vazio (nome real ou fallback 'Categoria') + ícone de busca. A rota nunca faz notFound(), assere direto (sem skip)",Navegação,Sim,,
TC-057,Cursos,Detalhe,cursos.spec.ts,Cursos — página do curso (público),exibe informações do curso (oferecido por + meta),Público,/servicos/cursos/[slug],Assere 'Curso oferecido por' + ao menos um MetaCard (Carga horária/Modalidade/Data início/Acessibilidade),Conteúdo,Sim,,
TC-058,Cursos,FAQ,cursos.spec.ts,Cursos — FAQ (público),exibe heading 'FAQ' e pergunta principal,Público,/servicos/cursos/faq,Exibe h1 'FAQ' e 'O que é a Plataforma Oportunidades Cariocas?',Smoke,Sim,,
TC-059,Cursos,FAQ,cursos.spec.ts,Cursos — FAQ (público),exibe perguntas sobre inscrição / gov.br / certificado,Público,/servicos/cursos/faq,"Exibe 'Quem pode se inscrever?', 'O que é a conta Gov.br' e 'Receberei certificado de conclusão do curso?'",Conteúdo,Sim,,
TC-060,Cursos,Home,cursos.spec.ts,Cursos — home (autenticado),header exibe o gatilho do menu global,Autenticado,/servicos/cursos,Header logado exibe o botão 'Abrir menu',Conteúdo,Sim,,
TC-061,Cursos,Home,cursos.spec.ts,Cursos — home (autenticado),header exibe link para o perfil,Autenticado,/servicos/cursos,Header logado exibe link para '/meu-perfil',Conteúdo,Sim,,
TC-062,Cursos,Menu,cursos.spec.ts,Cursos — menu global (autenticado),menu global exibe itens de Cursos com hrefs corretos,Autenticado,/servicos/cursos,"Abrir menu > Oportunidades Cariocas exibe Ver cursos (/servicos/cursos), Meus cursos (/meus-cursos) e Certificados (/certificados)",Navegação,Sim,,
TC-063,Cursos,Menu,cursos.spec.ts,Cursos — menu global (autenticado),clicar em 'Meus cursos' no menu global navega para /meus-cursos,Autenticado,/servicos/cursos,"Abre o menu global, expande Oportunidades Cariocas, clica em 'Meus cursos' e verifica heading 'Meus cursos'",Fluxo,Sim,,
TC-064,Cursos,Meus Cursos,cursos.spec.ts,Cursos — meus cursos (autenticado),exibe heading e cards ou estado vazio,Autenticado,/servicos/cursos/meus-cursos,h1 'Meus cursos' com cards ou 'Você ainda não possui nenhum curso.',Smoke,Sim,,
TC-065,Cursos,Certificados,cursos.spec.ts,Cursos — certificados (autenticado),exibe certificados ou estado vazio,Autenticado,/servicos/cursos/certificados,Heading 'Certificados' ou 'Você ainda não possui nenhum certificado.',Smoke,Sim,,
TC-066,Cursos,Alertas,cursos.spec.ts,Cursos — alertas (autenticado),exibe a lista de alertas de cursos,Autenticado,/servicos/cursos/alertas,Exibe o item 'Cursos de Tecnologia' da lista de alertas,Smoke,Sim,,
TC-067,Cursos,Detalhe,cursos.spec.ts,Cursos — página do curso (autenticado),exibe CTA de inscrição ou feedback de já inscrito,Autenticado,/servicos/cursos/[slug],CTA de inscrição OU 'Trocar turma / horário' / 'Cancelar inscrição' / 'Inscrição recusada',Conteúdo,Sim,,
TC-068,Cursos,Inscrição,cursos.spec.ts,Cursos — fluxo de inscrição (autenticado),confirmar-informacoes exibe o carousel de steps,Autenticado,/servicos/cursos/[slug] → confirmar-informacoes,"Itera os cursos até achar um inscrivível, abre o fluxo, verifica back-button e botão 'Continuar'/'Confirmar inscrição' — SEM submeter",Fluxo,Sim,,Só pula se a conta estiver inscrita em todos
TC-069,Cursos,Trocar Turma,cursos.spec.ts,Cursos — troca de turma (autenticado),acessar trocar-turma exibe o fluxo (curso já inscrito),Autenticado,/servicos/cursos/[slug]/trocar-turma,"Itera até um curso approved/pending, abre o fluxo (back-button + 'Continuar'/'Confirmar troca') — SEM submeter",Fluxo,Sim,,Só pula se a conta não estiver inscrita em nenhum
TC-070,Menu Global,Deslogado,home.spec.ts,Menu global (público),menu deslogado oculta itens que exigem login,Público,/,"Abrir menu exibe 'Faça seu login'; Documentos aparece apontando para /autenticacao-necessaria/carteira; Meus cursos, Certificados, Minhas candidaturas, Meu currículo, Autorizações e Sair não aparecem",Conteúdo,Sim,,
TC-071,Menu Global,Logado,home.spec.ts,Menu global (autenticado),menu exibe bloco do usuário e todos os acessos,Autenticado,/,"Abrir menu exibe avatar, nome e CPF; itens Página inicial, Serviços, Documentos, acordeões Oportunidades Cariocas / Atendimentos / Outros e Sair",Conteúdo,Sim,,
TC-072,Menu Global,Tema,home.spec.ts,Menu global (público),toggle 'Tema claro' alterna entre claro e escuro,Público,/,Menu > Outros > 'Tema claro': desligar aplica a classe dark no html; religar volta ao claro,Fluxo,Sim,,
TC-073,Institucional,Termos,n/a — manual,Documentos institucionais,Termos de uso acessível pelo menu global,Público,/termos-de-uso,Menu > Outros > Termos de uso abre /termos-de-uso com h1 'Termos de uso' e as 9 seções da Parte I,Navegação,Não,,
TC-074,Institucional,Privacidade,n/a — manual,Documentos institucionais,Política de Privacidade acessível pela referência cruzada,Público,/politica-de-privacidade,Dentro de /termos-de-uso o link 'Aviso de Privacidade' abre /politica-de-privacidade com as 15 seções da Parte II,Navegação,Não,,
TC-075,Institucional,Redirect,n/a — manual,Documentos institucionais,URL antiga dos termos redireciona,Público,/servicos/trabalho/termos-de-uso,A URL divulgada externamente responde 308 e leva a /termos-de-uso,Navegação,Não,,
TC-076,FAQ,Hub,cursos.spec.ts / empregos.spec.ts,FAQ — hub,"hub lista PrefRio, Cursos e Trabalho",Público,/faq,"/faq exibe h1 'Perguntas Frequentes' e links para /faq/pref-rio, /servicos/cursos/faq e /servicos/trabalho/faq",Navegação,Sim,,
TC-077,Empregos,Menu,empregos.spec.ts,Empregos — menu global (autenticado),menu global exibe itens de Empregos com hrefs corretos,Autenticado,/servicos/trabalho,"Abrir menu > Oportunidades Cariocas exibe Ver vagas, Minhas candidaturas (/minhas-candidaturas) e Meu currículo (/curriculo)",Conteúdo,Sim,,
